--moves,--pad-clearance,--w-crossings,bridges,config,courtyards,engine_overlaps,hpwl,note,seconds,seed,shorts,valid,wall_seconds
4000,0.46,5.0,0,m4000-c0.46-x5.0,0,0,36884.3,,0.896,1,0,True,4.1
4000,0.46,5.0,0,m4000-c0.46-x5.0,0,0,36884.3,,0.907,42,0,True,4.1
4000,0.46,5.0,0,m4000-c0.46-x5.0,0,0,36884.3,,0.902,1337,0,True,4.1
4000,0.46,2.5,0,m4000-c0.46-x2.5,0,0,36826.2,,0.898,1,0,True,4.1
4000,0.46,2.5,0,m4000-c0.46-x2.5,0,0,36826.2,,0.888,42,0,True,4.1
4000,0.46,2.5,0,m4000-c0.46-x2.5,0,0,36826.2,,0.911,1337,0,True,4.1
4000,0.48,5.0,0,m4000-c0.48-x5.0,0,0,36886.1,,0.901,1,0,True,4.1
4000,0.48,5.0,0,m4000-c0.48-x5.0,0,0,36886.1,,0.899,42,0,True,4.0
4000,0.48,5.0,0,m4000-c0.48-x5.0,0,0,36886.1,,0.908,1337,0,True,4.0
4000,0.48,2.5,0,m4000-c0.48-x2.5,0,0,36827.9,,0.903,1,0,True,4.0
4000,0.48,2.5,0,m4000-c0.48-x2.5,0,0,36827.9,,0.902,42,0,True,4.0
4000,0.48,2.5,0,m4000-c0.48-x2.5,0,0,36827.9,,0.905,1337,0,True,4.0
4000,0.5,5.0,0,m4000-c0.50-x5.0,0,0,36812.2,,0.922,1,0,True,4.1
4000,0.5,5.0,0,m4000-c0.50-x5.0,0,0,36812.2,,0.915,42,0,True,4.1
4000,0.5,5.0,0,m4000-c0.50-x5.0,0,0,36812.2,,0.91,1337,0,True,4.1
4000,0.5,2.5,0,m4000-c0.50-x2.5,0,0,36887.4,,0.908,1,0,True,4.1
4000,0.5,2.5,0,m4000-c0.50-x2.5,0,0,36887.4,,0.935,42,0,True,3.1
4000,0.5,2.5,0,m4000-c0.50-x2.5,0,0,36887.4,,0.911,1337,0,True,3.1
8000,0.46,5.0,0,m8000-c0.46-x5.0,0,0,36884.3,,1.395,1,0,True,4.5
8000,0.46,5.0,0,m8000-c0.46-x5.0,0,0,36884.3,,1.389,42,0,True,4.5
8000,0.46,5.0,0,m8000-c0.46-x5.0,0,0,36884.3,,2.338,1337,0,True,4.5
8000,0.46,2.5,0,m8000-c0.46-x2.5,0,0,36826.2,,2.361,1,0,True,4.5
8000,0.46,2.5,0,m8000-c0.46-x2.5,0,0,36826.2,,1.422,42,0,True,4.6
8000,0.46,2.5,0,m8000-c0.46-x2.5,0,0,36826.2,,1.417,1337,0,True,4.6
8000,0.48,5.0,2,m8000-c0.48-x5.0,0,0,37085.6,,2.351,1,1,False,4.6
8000,0.48,5.0,2,m8000-c0.48-x5.0,0,0,37085.6,,2.369,42,1,False,4.6
8000,0.48,5.0,2,m8000-c0.48-x5.0,0,0,37085.6,,1.407,1337,1,False,4.6
8000,0.48,2.5,0,m8000-c0.48-x2.5,0,0,36827.9,,1.415,1,0,True,4.6
8000,0.48,2.5,0,m8000-c0.48-x2.5,0,0,36827.9,,2.422,42,0,True,4.7
8000,0.48,2.5,0,m8000-c0.48-x2.5,0,0,36827.9,,2.408,1337,0,True,4.7
8000,0.5,5.0,0,m8000-c0.50-x5.0,0,0,36812.2,,1.501,1,0,True,5.0
8000,0.5,5.0,0,m8000-c0.50-x5.0,0,0,36812.2,,1.535,42,0,True,5.1
8000,0.5,5.0,0,m8000-c0.50-x5.0,0,0,36812.2,,2.612,1337,0,True,4.9
8000,0.5,2.5,0,m8000-c0.50-x2.5,0,0,36887.4,,2.597,1,0,True,4.9
8000,0.5,2.5,0,m8000-c0.50-x2.5,0,0,36887.4,,1.474,42,0,True,4.8
8000,0.5,2.5,0,m8000-c0.50-x2.5,0,0,36887.4,,2.402,1337,0,True,4.8
16000,0.46,5.0,1,m16000-c0.46-x5.0,0,0,37225.7,,3.597,1,1,False,5.8
16000,0.46,5.0,1,m16000-c0.46-x5.0,0,0,37225.7,,3.605,42,1,False,5.9
16000,0.46,5.0,1,m16000-c0.46-x5.0,0,0,37225.7,,2.78,1337,1,False,5.9
16000,0.46,2.5,0,m16000-c0.46-x2.5,0,0,36826.2,,3.605,1,0,True,5.9
16000,0.46,2.5,0,m16000-c0.46-x2.5,0,0,36826.2,,3.503,42,0,True,5.9
16000,0.46,2.5,0,m16000-c0.46-x2.5,0,0,36826.2,,3.49,1337,0,True,5.9
16000,0.48,5.0,0,m16000-c0.48-x5.0,0,0,36886.1,,3.577,1,0,True,6.2
16000,0.48,5.0,0,m16000-c0.48-x5.0,0,0,36886.1,,3.624,42,0,True,6.2
16000,0.48,5.0,0,m16000-c0.48-x5.0,0,0,36886.1,,4.176,1337,0,True,6.6
16000,0.48,2.5,11,m16000-c0.48-x2.5,0,0,37028.0,,4.135,1,11,False,6.5
16000,0.48,2.5,11,m16000-c0.48-x2.5,0,0,37028.0,,4.019,42,11,False,6.4
16000,0.48,2.5,11,m16000-c0.48-x2.5,0,0,37028.0,,4.007,1337,11,False,6.4
16000,0.5,5.0,0,m16000-c0.50-x5.0,0,0,36812.2,,3.719,1,0,True,6.1
16000,0.5,5.0,0,m16000-c0.50-x5.0,0,0,36812.2,,3.8,42,0,True,6.2
16000,0.5,5.0,0,m16000-c0.50-x5.0,0,0,36812.2,,3.258,1337,0,True,6.0
16000,0.5,2.5,0,m16000-c0.50-x2.5,0,0,36887.4,,3.654,1,0,True,6.0
16000,0.5,2.5,0,m16000-c0.50-x2.5,0,0,36887.4,,3.458,42,0,True,5.7
16000,0.5,2.5,0,m16000-c0.50-x2.5,0,0,36887.4,,3.388,1337,0,True,5.6
